fecha,R,G,B,Intensidad,R_norm,G_norm,B_norm,RG_ratio,RB_ratio,BG_ratio,Etiqueta
2025-10-20 14:55:21,5796.039521868306,6903.635914739528,11464.54557878912,24164.221015396957,0.24,0.286,0.474,0.84,0.506,1.661,0
2025-10-20 14:55:22,4220.046282322165,3063.772096420745,3125.762193985915,10409.580572728824,0.405,0.294,0.3,1.377,1.35,1.02,0
2025-10-20 14:55:23,5009.918776875299,3472.3934100505007,4131.912126884051,12614.22431380985,0.397,0.275,0.328,1.443,1.212,1.19,0
2025-10-20 14:55:24,5339.661362189688,3762.045026459772,4068.5847317877583,13170.291120437218,0.405,0.286,0.309,1.419,1.312,1.081,0
2025-10-20 14:55:25,4817.439843794866,3696.887752853554,4015.032786100608,12529.360382749028,0.384,0.295,0.32,1.303,1.2,1.086,0
2025-10-20 14:55:26,4810.809198830074,2863.397050791917,3700.1490891447224,11374.355338766714,0.423,0.252,0.325,1.68,1.3,1.292,0
2025-10-20 14:55:27,4704.50787953564,3286.2994593747553,3673.413907864775,11664.22124677517,0.403,0.282,0.315,1.432,1.281,1.118,0
2025-10-20 14:55:28,4986.392438922903,3437.6723219408245,3675.1842278203726,12099.248988684101,0.412,0.284,0.304,1.451,1.357,1.069,0
2025-10-20 14:55:29,4687.9445624231585,2759.592078426212,3649.4422692073435,11096.978910056714,0.422,0.249,0.329,1.699,1.285,1.322,0
2025-10-20 14:55:30,4848.345855970408,3481.906026896895,3644.3687548874796,11974.620637754782,0.405,0.291,0.304,1.392,1.33,1.047,0
2025-10-20 14:55:31,2803.3980550078536,2816.9542294905805,3661.3888525162583,9281.741137014693,0.302,0.303,0.394,0.995,0.766,1.3,0
2025-10-20 14:55:32,8595.765959627011,4187.812890020468,4968.671444648463,17752.250294295944,0.484,0.236,0.28,2.053,1.73,1.186,0
2025-10-20 14:55:33,2979.7556123898835,2370.6008025772903,3025.8658875302094,8376.222302497383,0.356,0.283,0.361,1.257,0.985,1.276,0
2025-10-20 14:55:34,3187.0400060787965,2575.404642023824,3286.556965992791,9049.001614095412,0.352,0.285,0.363,1.237,0.97,1.276,0
2025-10-20 14:55:35,5954.857670192376,3484.2199700947003,4513.15865927799,13952.236299565066,0.427,0.25,0.323,1.709,1.319,1.295,0
2025-10-20 14:55:36,4763.0070406541,2864.374786587448,2438.1944484813253,10065.576275722873,0.473,0.285,0.242,1.663,1.953,0.851,0
2025-10-20 14:55:37,2991.2309228355443,2329.3924247473064,2958.9446208112877,8279.567968394138,0.361,0.281,0.357,1.284,1.011,1.27,0
2025-10-20 14:55:38,7707.992281540017,4003.5355319047394,6132.4716719058415,17843.9994853506,0.432,0.224,0.344,1.925,1.257,1.532,0
2025-10-20 14:55:39,7805.534567786359,5784.050196511067,14703.957931638914,28293.54269593634,0.276,0.204,0.52,1.349,0.531,2.542,0
2025-10-20 14:55:40,14490.59941267922,10243.751373794114,8353.523202549293,33087.87398902263,0.438,0.31,0.252,1.415,1.735,0.815,0
2025-10-20 14:55:41,6517.448527697926,8538.892508143323,12955.37915057915,28011.720186420396,0.233,0.305,0.462,0.763,0.503,1.517,0
2025-10-20 14:55:42,17928.20688181235,12470.057975323323,14091.395934822778,44489.66079195846,0.403,0.28,0.317,1.438,1.272,1.13,0
2025-10-20 14:55:43,17429.062954498233,9976.936251189343,9338.314594233552,36744.31379992113,0.474,0.272,0.254,1.747,1.866,0.936,0
2025-10-20 14:55:44,6592.226326129666,7479.810967454302,10673.887263010562,24745.92455659453,0.266,0.302,0.431,0.881,0.618,1.427,0
2025-10-20 14:55:44,8500.818808269152,4408.791717033689,9111.119800152059,22020.730325454897,0.386,0.2,0.414,1.928,0.933,2.067,0
2025-10-20 14:55:45,4844.985560817835,3785.8146042061558,4222.382845925404,12853.183010949395,0.377,0.295,0.329,1.28,1.147,1.115,0
2025-10-20 14:55:46,6082.668406932057,4719.860462499297,4751.675540953892,15554.204410385246,0.391,0.303,0.305,1.289,1.28,1.007,0
2025-10-20 14:55:47,4147.643016069222,3209.844646820234,3240.5964614077106,10598.084124297167,0.391,0.303,0.306,1.292,1.28,1.01,0
2025-10-20 14:55:48,2729.8669009730224,2304.3094165476323,3081.8942650354534,8116.070582556107,0.336,0.284,0.38,1.185,0.886,1.337,0
2025-10-20 14:55:49,3736.7401665998486,1897.2741665535802,2742.6299614202576,8376.644294573687,0.446,0.226,0.327,1.97,1.362,1.446,0
2025-10-20 14:55:50,2114.704043561561,1544.8633517495396,7549.8226982269825,11209.390093538083,0.189,0.138,0.674,1.369,0.28,4.887,0
2025-10-20 14:55:51,13920.690341851974,1396.0073223498086,1903.4303737151415,17220.128037916926,0.808,0.081,0.111,9.972,7.313,1.363,0
2025-10-20 14:55:52,6318.626092196445,9439.189827838416,2115.5573489357407,17873.3732689706,0.354,0.528,0.118,0.669,2.987,0.224,0
2025-10-20 14:55:53,3138.274597830153,6796.797925781883,13810.681593677971,23745.75411729001,0.132,0.286,0.582,0.462,0.227,2.032,0
2025-10-20 14:55:54,4063.4605696570434,3491.7615717615718,7384.988115150982,14940.210256569597,0.272,0.234,0.494,1.164,0.55,2.115,0
2025-10-20 14:55:55,23360.089111668058,4263.15393606749,3974.89006823351,31598.13311596906,0.739,0.135,0.126,5.48,5.877,0.932,0
2025-10-20 14:55:56,5091.101535473691,11470.816354437304,2585.963808995345,19147.881698906338,0.266,0.599,0.135,0.444,1.969,0.225,0
2025-10-20 14:55:57,4005.638429949384,2622.997404709046,15377.833180568286,22006.469015226714,0.182,0.119,0.699,1.527,0.26,5.863,0
2025-10-20 14:55:58,74235.46902654867,1187.4984782208633,1328.5726955970858,76751.54020036662,0.967,0.015,0.017,62.514,55.876,1.119,0
2025-10-20 14:55:59,42930.44012282498,13131.822166562304,1315.5299062196154,57377.7921956069,0.748,0.229,0.023,3.269,32.634,0.1,0
2025-10-20 14:56:00,1618.609964110678,11116.628677445004,13740.553644553645,26475.792286109325,0.061,0.42,0.519,0.146,0.118,1.236,0
2025-10-20 14:56:01,1602.9595658488115,1957.98800270756,13920.690341851974,17481.637910408346,0.092,0.112,0.796,0.819,0.115,7.11,0
2025-10-20 14:56:02,22863.47233578632,1237.695939565628,2464.0488779226885,26565.217153274632,0.861,0.047,0.093,18.473,9.279,1.991,0
2025-10-20 14:56:03,132312.429022082,110376.42105263157,1308.8793883601186,243997.72946307372,0.542,0.452,0.005,1.199,101.088,0.012,0
2025-10-20 14:56:04,1910.2789606722383,12175.047895500726,12989.482812016104,27074.809668189067,0.071,0.45,0.48,0.157,0.147,1.067,0
